ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
104	Gyalsumdo	Ten	tɕu	tɕu	tɕ u !Ø/k	tɕ u.!Ø/k	1422
105	Gyalsumdo	Twenty	ɲiɕu	ɲiɕu	ɲ i + ɕ/tɕ u !Ø/k	ɲ i + ɕ/tɕ u.!Ø/k	1451
106	Gyalsumdo	One Hundred	kja	kja	k j a	k.j a	1303
107	Gyalsumdo	Who	su	su	s u	s u	1474
108	Gyalsumdo	What	tɕi	tɕi	tɕ i	tɕ i	1464
109	Gyalsumdo	Where	kəɹu	kəɹu	k ə + ɹ u	k ə + ɹ u	1470
110	Gyalsumdo	This	t̪i	t̪i	t̪ i	t̪ i	1428806
111	Gyalsumdo	That	ot̪i	ot̪i	o + t̪ i	o + t̪ i	786
112	Gyalsumdo	Many	maŋbu	maŋbu	m a ŋ + b u	m a.ŋ + b u	1323
113	Gyalsumdo	All	t̪aɡɹaŋ	t̪aɡɹaŋ	t̪ a g/k + ɹ a ŋ	t̪ a.g/k + ɹ a.ŋ	154
114	Gyalsumdo	To eat	se	se	s e	s e	1311
115	Gyalsumdo	To bite	ale	ale	a + l e	a + l e	851
116	Gyalsumdo	To bite	soɡjapb	soɡjapb	s o + g j a !pb/p	s o + g.j a.!pb/p	1198
117	Gyalsumdo	To drink	t̪ʰuŋ	t̪ʰuŋ	t̪ʰ u ŋ	t̪ʰ u.ŋ	1232
118	Gyalsumdo	To sleep	ɲal	ɲal	ɲ a l	ɲ a.l	1394
119	Gyalsumdo	To give	t̪eɹ	t̪eɹ	t̪ e ɹ	t̪ e.ɹ	903
120	Gyalsumdo	To die	ɕi	ɕi	ɕ i	ɕ i	1230
121	Gyalsumdo	To kill	se	se	s e	s e	1311
122	Gyalsumdo	To fly	pʰiɹ	pʰiɹ	pʰ i ɹ	pʰ i.ɹ	1259
123	Gyalsumdo	To walk	kju	kju	k j u	k.j u	1013
124	Gyalsumdo	To run	t̪aɹkjulaŋ	t̪aɹkjulaŋ	t̪ a ɹ + k j u + l a ŋ	t̪ a.ɹ + k.j u + l a.ŋ	20
125	Gyalsumdo	To come	ɕjo	ɕjo	ɕ j o	ɕ.j o	1224
126	Gyalsumdo	To come	oŋ	oŋ	o ŋ	o.ŋ	1223
127	Gyalsumdo	I	ŋa	ŋa	ŋ a	ŋ a	1310
128	Gyalsumdo	You (informal)	kʰe	kʰe	kʰ !Ø/j e	kʰ.!Ø/j e	1430
129	Gyalsumdo	We (inclusive)	ɲi	ɲi	ɲ i	ɲ i	1067
130	Gyalsumdo	We (inclusive)	ɲija	ɲija	ɲ i + j a	ɲ i + j a	1067
131	Gyalsumdo	We (inclusive)	ɲiɹaŋ	ɲiɹaŋ	ɲ i + ɹ a ŋ	ɲ i + ɹ a.ŋ	1066
132	Gyalsumdo	You (plural)	kʰija	kʰija	kʰ i + j a	kʰ i + j a	22
133	Gyalsumdo	Hailstone	seɹa	seɹa	s e + ɹ a	s e + ɹ a	1280
134	Gyalsumdo	Horse	t̪abu	t̪abu	t̪ a + b u	t̪ a + b u	1294
135	Gyalsumdo	Pig	pʰakpa	pʰakpa	pʰ a k + p a	pʰ a.k + p a	1356
136	Gyalsumdo	Stick	kjukpa	kjukpa	k j u k + p a	k.j u.k + p a	1413
137	Gyalsumdo	To chew	leke	leke	l e + k e	l e + k e	867
138	Gyalsumdo	To throw	jukɛ	jukɛ	j u + k ɛ	j u + k ɛ	178
139	Gyalsumdo	To throw	juɹkɛ	juɹkɛ	j u ɹ + k ɛ	j u.ɹ + k ɛ	178
140	Jirel	Head	ŋɡo	ŋɡo	ⁿg/g o	ⁿg/g o	1284
141	Jirel	Hair	ŋɡokita	ŋɡokita	ⁿg/g o + k i + t̪ a	ⁿg/g o + k i + t̪ a	1282
142	Jirel	Eye	mik	mik	m i k	m i.k	1246
143	Jirel	Ear	n̪amdʑjok	n̪amdʑjok	n a m + dʑj/dʑ o k	n a.m + dʑj/dʑ o.k	1238
144	Jirel	Nose	n̪əu	n̪əu	n əu	n əu	1352
145	Jirel	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
146	Jirel	Teeth	sa	sa	s a	s a	1446
147	Jirel	Tongue	tselak	tselak	!ts/tɕ e + l a k	!ts/tɕ e + l a.k	1444
148	Jirel	Breast	n̪uma	n̪uma	n u + m a	n u + m a	1210
149	Jirel	Belly	suba	suba	s u + b a	s u + b a	1193
150	Jirel	Skin	kokt̪en	kokt̪en	k o k + t̪ e n	k o.k + t̪ e.n	726
151	Jirel	Bone	ɹuba	ɹuba	ɹ u + b a	ɹ u + b a	1208
152	Jirel	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
153	Jirel	Blood	tʰak	tʰak	t̪ʰ a k	t̪ʰ a.k	1206
154	Jirel	House	kʰamba	kʰamba	kʰ a !m/ŋ + b a	kʰ a.!m/ŋ + b a	1301
155	Jirel	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
156	Jirel	Knife	tɕʰuɹa	tɕʰuɹa	!tɕʰ/t̪ʰ u + ɹ a	!tɕʰ/t̪ʰ u + ɹ a	1313
157	Jirel	Knife	tsəku	tsəku	ts ə + k u	ts ə + k u	1313
158	Jirel	Rope	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	1374
159	Jirel	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
160	Jirel	Sun	ɲima	ɲima	ɲ i + m a	ɲ i + m a	1418
161	Jirel	Moon	nd̪aɡaɹ	nd̪aɡaɹ	ⁿd/d̪ a + g/k a ɹ	ⁿd/d̪ a + g/k a.ɹ	1327
162	Jirel	Sky	n̪am	n̪am	!n̪/n a m	!n̪/n a.m	1392
163	Jirel	Star	kaɹma	kaɹma	k a ɹ + m a	k a.ɹ + m a	1410
164	Jirel	Water	tɕʰju	tɕʰju	tɕʰj/tɕʰ u	tɕʰj/tɕʰ u	1458
165	Jirel	River	tʰaŋka	tʰaŋka	!tʰ/ts a ŋ + k a	!tʰ/ts a.ŋ + k a	1368
166	Jirel	Cloud	mukpa	mukpa	m u k + p a	m u.k + p a	176
167	Jirel	Rainbow	ndza	ndza	ⁿdz/dz a	ⁿdz/dz a	1358
168	Jirel	Wind	hlaba	hlaba	h l a + b a	h.l a + b a	1486
169	Jirel	Stone	nd̪o	nd̪o	ⁿd/d̪ o	ⁿd/d̪ o	1416
170	Jirel	Sand	pʰesa	pʰesa	pʰ e + s a	pʰ e + s a	1382
171	Jirel	Fire	me	me	m e	m e	1251
172	Jirel	Mud	səbi	səbi	s ə + b i	s ə + b i	534
173	Jirel	Dust	d̪ulo	d̪ulo	!d̪/t̪ʰ !u/a + l !o/a	!d̪/t̪ʰ !u/a + l !o/a	1237
174	Jirel	Tree	nd̪oŋbo	nd̪oŋbo	ⁿd/d̪ o ŋ + b o	ⁿd/d̪ o.ŋ + b o	1039
175	Jirel	Leaf	ɕjomak	ɕjomak	ɕj/ɕ o + m a k	ɕj/ɕ o + m a.k	2
176	Jirel	Root	tsapɹen	tsapɹen	ts a + p ɹ e n	ts a + p.ɹ e.n	1371
177	Jirel	Flower	mend̪ok	mend̪ok	m e + ⁿd/d̪ o k	m e + ⁿd/d̪ o.k	1257
178	Jirel	Fruit	pʰəlpʰul	pʰəlpʰul	pʰ ə l + pʰ u l	pʰ ə.l + pʰ u.l	310
179	Jirel	Wheat (husked)	tʰa	tʰa	t̪ʰ a	t̪ʰ a	1091
180	Jirel	Barley	ndzəu	ndzəu	!ⁿdz/ts əu	!ⁿdz/ts əu	1190
181	Jirel	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
182	Jirel	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
183	Jirel	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
184	Jirel	Egg	tsʰemend̪ok	tsʰemend̪ok	tsʰ e + m e n + d̪ o k	tsʰ e + m e.n + d̪ o.k	224
185	Jirel	Egg	tsʰeɡoŋa	tsʰeɡoŋa	tsʰ e + g o + ŋ a	tsʰ e + g o + ŋ a	1242
186	Jirel	Horns	ɹodʑjo	ɹodʑjo	ɹ o + dʑj/dʑ o	ɹ o + dʑj/dʑ o	1292
187	Jirel	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
188	Jirel	Goat	ɹa	ɹa	ɹ a	ɹ a	1269
189	Jirel	Dog	ki	ki	!k/kʰ i	!k/kʰ i	1231
190	Jirel	Snake	ɹul	ɹul	ɹ u l	ɹ u.l	1401
191	Jirel	Mosquito	lamkute	lamkute	l a m + k u + t̪ e	l a.m + k u + t̪ e	523
192	Jirel	Ant	tʰoŋmatsi	tʰoŋmatsi	t̪ʰ o ŋ + m a + ts i	t̪ʰ o.ŋ + m a + ts i	1183
193	Jirel	Spider	ŋɡwãpali	ŋɡwãpali	ⁿg/g w ã + p a + l i	ⁿg/g.w ã + p a + l i	61
194	Jirel	Name	min̪	min̪	m i n	m i.n	1344
195	Jirel	Woman	pʰemmemi	pʰemmemi	pʰ e m + m e + m i	pʰ e.m + m e + m i	1489
196	Jirel	Father	aba	aba	a + b a	a + b a	1249
197	Jirel	Mother	ãma	ãma	!ã/a + m a	!ã/a + m a	1338
198	Jirel	Son	pʰudʑuŋ	pʰudʑuŋ	pʰ u + dʑ u ŋ	pʰ u + dʑ u.ŋ	1403
199	Jirel	Daughter	pʰumu	pʰumu	pʰ u + m u	pʰ u + m u	1227
200	Jirel	Husband	kʰjobo	kʰjobo	kʰ j o + b o	kʰ.j o + b o	1304
201	Jirel	Wife	pʰemme	pʰemme	pʰ e m + m e	pʰ e.m + m e	1121
202	Jirel	Morning	ŋomu	ŋomu	ŋ o + m u	ŋ o + m u	1331
203	Jirel	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd/d̪ a ŋ	ⁿd/d̪ a.ŋ	1151
204	Jirel	Today	tʰəɹiŋ	tʰəɹiŋ	!tʰ/t̪ ə + ɹ i ŋ	!tʰ/t̪ ə + ɹ i.ŋ	1438
205	Jirel	Tomorrow	ŋaɹo	ŋaɹo	ŋ a !Ø/ɹ + ɹ o	ŋ a.!Ø/ɹ + ɹ o	1028
206	Jirel	Year	lo	lo	l o	l o	1494
207	Jirel	New	samba	samba	s a + ⁿb/b a	s a + ⁿb/b a	1349
208	Jirel	Good	lemu	lemu	l e + m u	l e + m u	1273
209	Jirel	Bad	meleba	meleba	m e + l e + b a	m e + l e + b a	110
210	Jirel	Wet	tʰəŋɡe	tʰəŋɡe	t̪ʰ ə ŋ + g e	t̪ʰ ə.ŋ + g e	179
211	Jirel	Dry	kombo	kombo	k o m + !b/p o	k o.m + !b/p o	1234
212	Jirel	Long	ɹimbu	ɹimbu	ɹ i !m/ŋ + b u	ɹ i.!m/ŋ + b u	1321
213	Jirel	Short	t̪ʰumma	t̪ʰumma	t̪ʰ u m + m a	t̪ʰ u.m + m a	1386
214	Jirel	Hot	tʰommu	tʰommu	t̪ʰ o + mː/m u	t̪ʰ o + mː/m u	398
215	Jirel	Cold	tʰəŋɡe	tʰəŋɡe	t̪ʰ ə ŋ + g e	t̪ʰ ə.ŋ + g e	179
216	Jirel	Right	samapa	samapa	s a + m a + p a	s a + m a + p a	660
217	Jirel	Left	d̪ebɹepa	d̪ebɹepa	d̪ e + b ɹ e + p a	d̪ e + b.ɹ e + p a	437
218	Jirel	Near	ɲibid̪u	ɲibid̪u	ɲ i + b i + d̪ u	ɲ i + b i + d̪ u	1345
219	Jirel	Far	t̪ʰaɹid̪u	t̪ʰaɹid̪u	t̪ʰ a + ɹ i !Ø/n + d̪ u	t̪ʰ a + ɹ i.!Ø/n + d̪ u	1247
220	Jirel	Far	t̪ʰaɹipa	t̪ʰaɹipa	t̪ʰ a + ɹ i !Ø/n + p a	t̪ʰ a + ɹ i.!Ø/n + p a	1247
221	Jirel	Big	ndzod̪a	ndzod̪a	ⁿdz/dz o + d̪ a	ⁿdz/dz o + d̪ a	1195
222	Jirel	Small	tikti	tikti	t̪ i k + t̪ i	t̪ i.k + t̪ i	733
223	Jirel	Heavy	tsend̪e	tsend̪e	!ts/tɕ e + ⁿd̪/d̪ e	!ts/tɕ e + ⁿd̪/d̪ e	1290
224	Jirel	Light	jeŋɡe	jeŋɡe	j e ŋ + g e	j e.ŋ + g e	1319
225	Jirel	Above	jine	jine	j i + n e	j i + n e	3
226	Jirel	White	kaɹmu	kaɹmu	k a ɹ + m u	k a.ɹ + m u	1472
227	Jirel	Black	naɡpo	naɡpo	n a g/k + p o	n a.g/k + p o	1203
228	Jirel	Red	məɹmu	məɹmu	m !ə/a ɹ + m u	m !ə/a.ɹ + m u	1360
229	Jirel	One	nd̪okpəi	nd̪okpəi	ⁿd/d̪ o k + p əi	ⁿd/d̪ o.k + p əi	16
230	Jirel	One	tɕik	tɕik	tɕ i k	tɕ i.k	1354
231	Jirel	Two	ɲi	ɲi	ɲ i	ɲ i	1452
232	Jirel	Three	sum	sum	s u m	s u.m	1433
233	Jirel	Four	ɕi	ɕi	ɕ i	ɕ i	1262
234	Jirel	Five	ŋa	ŋa	ŋ a	ŋ a	1310
235	Jirel	Six	tʰok	tʰok	t̪ʰ o k	t̪ʰ o.k	1388
236	Jirel	Seven	nd̪uin	nd̪uin	ⁿd/d̪ ui n	ⁿd/d̪ ui.n	1384
237	Jirel	Eight	ŋɡet̪	ŋɡet̪	ⁿg/g e t̪	ⁿg/g e.t̪	1245
238	Jirel	Nine	ŋɡu	ŋɡu	ⁿg/g u	ⁿg/g u	1351
239	Jirel	Ten	tɕut̪amba	tɕut̪amba	tɕ u + t̪ a m + b a	tɕ u + t̪ a.m + b a	1422
240	Jirel	Twenty	kʰaldʑik	kʰaldʑik	kʰ a l + !dʑ/tɕ i k	kʰ a.l + !dʑ/tɕ i.k	1051
241	Jirel	One Hundred	kʰalŋa	kʰalŋa	kʰ a l + ŋ a	kʰ a.l + ŋ a	594
242	Jirel	Who	su	su	s u	s u	1474
243	Jirel	What	tɕi	tɕi	tɕ i	tɕ i	1464
244	Jirel	Where	kʰapa	kʰapa	kʰ a + p a	kʰ a + p a	1470
245	Jirel	This	nd̪i	nd̪i	ⁿd/d̪ i	ⁿd/d̪ i	1428
246	Jirel	That	t̪ʰe	t̪ʰe	t̪ʰ e	t̪ʰ e	785
247	Jirel	Many	kalbe	kalbe	k a l + b e	k a.l + b e	478
248	Jirel	All	ŋɡaŋe	ŋɡaŋe	ⁿg/g a + ŋ e	ⁿg/g a + ŋ e	1067
249	Jirel	To eat	so	so	s o	s o	1240
250	Jirel	To eat	soba	soba	s o + b a	s o + b a	1240
251	Jirel	To eat	sabla	sabla	s a b + l a	s a.b + l a	1240
252	Jirel	To bite	muɹtɕja	muɹtɕja	m u ɹ + tɕ j a	m u.ɹ + tɕ.j a	1202
253	Jirel	To bite	muɹab	muɹab	m u !Ø/ɹ + ɹ a b	m u.!Ø/ɹ + ɹ a.b	1202
254	Jirel	To drink	t̪ʰuŋ	t̪ʰuŋ	t̪ʰ u ŋ	t̪ʰ u.ŋ	1232
255	Jirel	To drink	t̪ʰubat̪e	t̪ʰubat̪e	t̪ʰ u !Ø/ŋ + b a + t̪ e	t̪ʰ u.!Ø/ŋ + b a + t̪ e	1232
256	Jirel	To sleep	ɲol	ɲol	ɲ !o/a l	ɲ !o/a.l	1394
257	Jirel	To sleep	ɲalat̪e	ɲalat̪e	ɲ a !Ø/l + l a + t̪ e	ɲ a.!Ø/l + l a + t̪ e	1394
258	Jirel	To give	mbind̪at̪e	mbind̪at̪e	ⁿb/b i n + d̪ a + t̪ e	ⁿb/b i.n + d̪ a + t̪ e	1266
259	Jirel	To die	ɕjapt̪e	ɕjapt̪e	ɕ j a p + t̪ e	ɕ.j a.p + t̪ e	883
260	Jirel	To kill	set̪at̪e	set̪at̪e	s e + t̪ a + t̪ e	s e + t̪ a + t̪ e	1311
261	Jirel	To fly	pʰuɹ	pʰuɹ	pʰ u ɹ	pʰ u.ɹ	1259
262	Jirel	To fly	pʰuɹat̪e	pʰuɹat̪e	pʰ u !Ø/ɹ + ɹ a + t̪ e	pʰ u.!Ø/ɹ + ɹ a + t̪ e	1259
263	Jirel	To walk	kʰjom	kʰjom	kʰ j o m	kʰ.j o.m	1013
264	Jirel	To walk	kʰjambat̪e	kʰjambat̪e	kʰ j a m + b a + t̪ e	kʰ.j a.m + b a + t̪ e	1013
265	Jirel	To run	tɕʰwabat̪e	tɕʰwabat̪e	tɕʰ w a + b a + t̪ e	tɕʰ.w a + b a + t̪ e	19
266	Jirel	To come	ɕjok	ɕjok	ɕ j o k	ɕ.j o.k	1224
267	Jirel	I	ŋa	ŋa	ŋ a	ŋ a	1310
268	Jirel	You (informal)	kʰo	kʰo	kʰ !Ø/j o	kʰ.!Ø/j o	1430
269	Jirel	We (inclusive)	oɹoŋ	oɹoŋ	o + ɹ o ŋ	o + ɹ o.ŋ	1070
270	Jirel	We (inclusive)	ŋɡaŋe	ŋɡaŋe	ⁿg/g a + ŋ e	ⁿg/g a + ŋ e	1067
271	Jirel	You (plural)	kʰjokjon	kʰjokjon	kʰ j o + k j o n	kʰ.j o + k.j o n	1498
272	Jirel	Hailstone	seɹe	seɹe	s e + ɹ e	s e + ɹ e	1280
273	Jirel	Horse	ŋɡoda	ŋɡoda	ⁿg/g o + !d/t̪ a	ⁿg/g o + !d/t̪ a	1294
274	Jirel	Pig	pʰakpa	pʰakpa	pʰ a k + p a	pʰ a.k + p a	1356
275	Jirel	Stick	dəndi	dəndi	d̪ ə + ⁿd/d̪ i	d̪ ə + ⁿd/d̪ i	765
276	Jirel	To chew	muɹat̪e	muɹat̪e	m u !Ø/ɹ + ɹ a + t̪ e	m u.!Ø/ɹ + ɹ a + t̪ e	1214
